,index,Winner_Name,Winner_Nationality,Count
0,152,Eddy Merckx ,BEL,34
1,557,Mark Cavendish ,GBR,34
2,69,Bernard Hinault ,FRA,28
3,44,André Leducq ,FRA,24
4,467,Lance Armstrong ,USA,22
5,39,André Darrigade ,FRA,22
6,613,Nicolas Frantz ,LUX,20
7,230,François Faber ,LUX,18
8,357,Jean Alavoine ,FRA,17
9,699,René Le Grevès ,FRA,16
10,339,Jacques Anquetil ,FRA,16
11,98,Charles Pélissier ,FRA,16
12,235,Freddy Maertens ,BEL,15
13,540,Marcel Kittel ,GER,14
14,658,Philippe Thys ,BEL,13
15,715,Robbie McEwen ,AUS,12
16,652,Peter Sagan ,SVK,12
17,598,Miguel Induráin ,ESP,12
18,356,Jean Aerts ,BEL,12
19,179,Erik Zabel ,GER,12
20,554,Mario Cipollini ,ITA,12
21,278,Gino Bartali ,ITA,12
22,493,Louis Trousselier ,FRA,12
23,494,Louison Bobet ,FRA,11
24,42,André Greipel ,GER,11
25,48,Antonin Magne ,FRA,10
26,681,Rafaele di Paco ,ITA,10
27,831,Walter Godefroot ,BEL,10
28,408,Joop Zoetemelk ,NED,10
29,350,Jan Raas ,NED,10
30,571,Maurice Archambaud ,FRA,10
31,263,Gerrie Knetemann ,NED,10
32,99,Charly Gaul ,LUX,10
33,803,Thor Hushovd ,NOR,10
34,847,Wout van Aert ,BEL,9
35,197,Fausto Coppi ,ITA,9
36,809,Tom Steels ,BEL,9
37,729,Roger Lapébie ,FRA,9
38,473,Laurent Fignon ,FRA,9
39,856,Éloi Meulenberg ,BEL,9
40,790,Sylvère Maes ,BEL,9
41,514,Luis Ocaña ,ESP,9
42,793,Tadej Pogačar ,SLO,9
43,381,Jean-Paul van Poppel ,NED,9
44,505,Lucien Van Impe ,BEL,9
45,627,Ottavio Bottecchia ,ITA,9
46,319,Henri Pélissier ,FRA,9
47,73,Bernard Thévenet ,FRA,9
48,324,Hippolyte Aucouturier ,FRA,9
49,60,Barry Hoban ,GBR,8
